DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6008	P220	P5785	P5465	P6050	P605	P6160	P8586	P6210	P6210S1	P6945	FEX_P
18817	252	1	5	5	2	22	6	3	6	1	1	6	3	1	1497.8600928
18818	252	1	1		2	40	6	1	4	1	2	6	3	1	607.86390965
18818	252	1	2		1	10									607.86390965
18818	252	1	3		2	9									607.86390965
18818	252	1	4	4	1	6									607.86390965
18819	252	1	1		1	40	6	1	2	1	2	5	1	1	891.45934464
18819	252	1	2		2	33	6	2	2	1	2	6	4	1	891.45934464
18819	252	1	3		1	17									891.45934464
18819	252	1	4		2	14									891.45934464
18819	252	1	5	5	2	9									891.45934464
18820	252	1	1		1	67	6	1	2	1	2	3	6	1	1190.3124493
18820	252	1	2	2	2	62	6	2	2	1	2	4	3	1	1190.3124493
18821	252	1	1		1	67	7	1	2	1	2	4	2	1	1190.3124493
18821	252	1	2	2	2	68	6	2	2	1	2	3	3	1	1190.3124493
18822	252	1	1		1	77	6	1	5	2	2	1		1	336.9274914
18822	252	1	2		1	65	6	3	6	1	2	3	6	1	336.9274914
18822	252	1	3		2	43	6	3	5	1	2	3	6	1	336.9274914
18822	252	1	4		1	37	1	3	2	1	2	3	6	1	336.9274914
18822	252	1	5		2	27	1	5	2	1	2	5	2	1	336.9274914
18822	252	1	6		1	13									336.9274914
18822	252	1	7		1	12									336.9274914
18822	252	1	8	8	1	0									336.9274914
18824	252	1	1		1	76	1	1	2	2	2	1		1	452.13956379
18824	252	1	2		2	67	6	2	2	2	2	1		1	452.13956379
18824	252	1	3		1	27	6	3	6	1	2	4	4	1	452.13956379
18824	252	1	4		2	39	6	3	4	2	2	1		1	452.13956379
18824	252	1	5		1	16									452.13956379
18824	252	1	6		1	32	6	3	4	1	2	3	4	1	452.13956379
18824	252	1	7	7	2	10									452.13956379
18825	252	1	2		2	32	6	2	2	1	2	5	2	1	516.02910536
18825	252	1	3		1	14									516.02910536
18825	252	1	4		1	11									516.02910536
18825	252	1	5	5	1	10									516.02910536
18825	252	1	1		1	42	6	1	2	1	2	5	2	4	516.02910536
18826	252	1	1		2	38	6	1	2	1	2	3	6	1	476.71860719
18826	252	1	2		1	41	6	2	2	1	2	3	6	1	476.71860719
18826	252	1	3		2	19	6	3	6	1	1	5	1	1	476.71860719
18826	252	1	4		1	17									476.71860719
18826	252	1	5		2	13									476.71860719
