DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
18894	252	1	1	1	1	1000000	567.989326949226
18894	252	1	2	4	2		567.989326949226
18894	252	1	3	4	2		567.989326949226
18894	252	1	6	1	1	850000	567.989326949226
18894	252	1	7	3	2		567.989326949226
18895	252	1	1	4	2		1150.75470933333
18895	252	1	2	1	1	200000	1150.75470933333
18895	252	1	3	1	99		1150.75470933333
18895	252	1	7	1	1	630000	1150.75470933333
18896	252	1	1	5	2		553.885750593905
18896	252	1	2	1	1	300000	553.885750593905
18896	252	1	3	1	1	900000	553.885750593905
18897	252	1	1	1	1	300000	695.655270589766
18897	252	1	2	1	1	800000	695.655270589766
18897	252	1	3	1	1	500000	695.655270589766
18898	252	1	1	2	2		697.050459061648
18898	252	1	2	1	1	1000000	697.050459061648
18898	252	1	3	3	2		697.050459061648
18898	252	1	5	1	1	800000	697.050459061648
18899	252	1	1	1	1	1800000	302.566537467703
18899	252	1	2	4	2		302.566537467703
18899	252	1	3	6	2		302.566537467703
18899	252	1	4	3	2		302.566537467703
18900	252	1	1	4	2		309.934568519951
18900	252	1	2	1	1	1200000	309.934568519951
18900	252	1	3	2	2		309.934568519951
18900	252	1	4	4	2		309.934568519951
18901	252	1	1	1	1	900000	799.989574998814
18901	252	1	2	3	2		799.989574998814
18902	252	1	1	5	2		314.201914690722
18902	252	1	2	4	1	1200000	314.201914690722
18902	252	1	3	2	2		314.201914690722
18903	252	1	1	1	1	900000	341.968170191479
18903	252	1	2	4	2		341.968170191479
18904	252	1	2	3	2	800000	616.314685226952
18904	252	1	5	1	1		616.314685226952
18904	252	1	1	1	1	600000	616.314685226952
18905	252	1	1	4	1	300000	742.453851275598
18905	252	1	2	4	1	75000	742.453851275598
18905	252	1	3	2	2		742.453851275598
18906	252	1	2	4	2	800000	746.771005811255
18906	252	1	3	2	2		746.771005811255
18906	252	1	1	1	1		746.771005811255
18907	252	1	1	1	1	600000	318.519069226379
18907	252	1	2	1	1	650000	318.519069226379
18907	252	1	3	2	2		318.519069226379
18908	252	1	1	6	1	3000000	633.375765565971
18908	252	1	2	1	1	2500000	633.375765565971
18909	252	1	1	1	1	700000	421.458185163545
18910	252	1	1	6	1	700000	302.566537467703
18910	252	1	2	4	2		302.566537467703
18910	252	1	3	4	2		302.566537467703
18910	252	1	4	3	2		302.566537467703
18910	252	1	5	3	2		302.566537467703
18911	252	1	1	1	1	620000	341.968170191479
18911	252	1	2	1	1	700000	341.968170191479
18912	252	1	1	1	1	650000	666.03523197656
18912	252	1	2	4	2		666.03523197656
18913	252	1	1	1	1	600000	525.64305996334
18914	252	1	1	4	1	150000	443.412476412396
18915	252	1	1	5	1	75000	907.672472236559
18915	252	1	2	1	1	100000	907.672472236559
18916	252	1	1	1	1	1000000	302.566537467703
18916	252	1	2	4	2		302.566537467703
18916	252	1	3	3	2		302.566537467703
18917	252	1	1	5	2		477.317701685614
18917	252	1	2	1	1	600000	477.317701685614
18917	252	1	3	1	1	650000	477.317701685614
18918	252	1	1	1	1	600000	666.03523197656
18918	252	1	2	4	2		666.03523197656
18919	252	1	2	1	1		753.059405192969
18919	252	1	3	1	1	500000	753.059405192969
18919	252	1	4	4	2	600000	753.059405192969
18919	252	1	5	1	1		753.059405192969
18919	252	1	1	4	2	700000	753.059405192969
18920	252	1	1	1	1	700000	666.03523197656
18920	252	1	2	4	2		666.03523197656
18921	252	1	1	1	1	700000	302.566537467703
18921	252	1	2	1	1	500000	302.566537467703
18922	252	1	1	1	1	800000	1173.62775392425
18922	252	1	2	1	1	800000	1173.62775392425
18923	252	1	1	1	1	1300000	318.519069226379
18923	252	1	2	4	2		318.519069226379
18923	252	1	3	3	2		318.519069226379
18924	252	1	1	1	1	650000	319.095125600554
18924	252	1	2	4	2		319.095125600554
18924	252	1	3	2	2		319.095125600554
18924	252	1	4	1	1	750000	319.095125600554
18925	252	1	1	1	1	800000	556.80771665768
18925	252	1	2	1	1	700000	556.80771665768
18926	252	1	1	5	1	800000	302.566537467703
18926	252	1	2	4	2		302.566537467703
18926	252	1	3	4	2		302.566537467703
18926	252	1	4	1	1	700000	302.566537467703
18926	252	1	5	1	1	800000	302.566537467703
18926	252	1	6	3	2		302.566537467703
18926	252	1	7	1	1	650000	302.566537467703
18927	252	1	1	4	2		823.339054719546
18927	252	1	2	1	1	300000	823.339054719546
18927	252	1	3	1	1	750000	823.339054719546
18928	252	1	1	2	1	150000	714.211160645034
18929	252	1	1	1	1	700000	703.338858443361
